year,month,day,max_tmp
2015,10,30,31.100
2015,10,31,31.600
2015,11,01,31.600
2015,11,02,32.500
2015,11,03,
2015,11,04,32.500
2015,11,05,32.400
2015,11,06,32.200
2015,11,07,31.900
2015,11,08,31.800
2015,11,09,32.600
2015,11,10,31.800
2015,11,11,31.900
2015,11,12,31.600
2015,11,13,31.900
2015,11,14,32.400
2015,11,15,32.600
2015,11,16,31.800
2015,11,17,32.500
2015,11,18,32.400
2015,11,19,32.800
2015,11,20,32.700
2015,11,21,32.800
2015,11,22,32.600
2015,11,23,32.600
2015,11,24,
2015,11,25,32.400
2015,11,26,
2015,11,27,32.600
2015,11,28,
2015,11,29,32.800
2015,11,30,32.700
2015,12,01,32.800
2015,12,02,33.000
2015,12,03,32.200
2015,12,04,32.600
2015,12,05,32.600
2015,12,06,32.900
2015,12,07,32.700
2015,12,08,
2015,12,09,32.200
2015,12,10,32.400
2015,12,11,32.700
2015,12,12,33.100
2015,12,13,32.800
2015,12,14,32.500
2015,12,15,32.900
2015,12,16,30.600
2015,12,17,31.900
2015,12,18,32.500
2015,12,19,31.900
2015,12,20,32.400
2015,12,21,32.100
2015,12,22,33.000
2015,12,23,30.700
2015,12,24,32.400
2015,12,25,32.100
2015,12,26,31.900
2015,12,27,30.500
2015,12,28,33.300
2015,12,29,32.800
2015,12,30,32.200
2015,12,31,31.400
2016,01,01,32.100
2016,01,02,32.600
2016,01,03,32.200
2016,01,04,32.400
2016,01,05,32.300
2016,01,06,30.400
2016,01,07,30.700
2016,01,08,29.800
2016,01,09,31.500
2016,01,10,31.600
2016,01,11,31.900
2016,01,12,31.600
2016,01,13,30.300
2016,01,14,32.000
2016,01,15,32.300
2016,01,16,31.600
2016,01,17,31.500
2016,01,18,29.200
2016,01,19,31.400
2016,01,20,
2016,01,21,31.000
2016,01,22,31.000
2016,01,23,31.700
2016,01,24,31.000
2016,01,25,
2016,01,26,
2016,01,27,
2016,01,28,30.500
2016,01,29,31.500
2016,01,30,30.800
2016,01,31,
2016,02,01,29.200
