dia,M_3,F_3,O_3
2016-11-14,167,97,0.0
2016-11-15,102,95,0.0
2016-11-16,178,72,2.0
2016-11-17,171,94,0.0
2016-11-18,186,64,0.0
2016-11-19,130,54,0.0
2016-11-20,103,50,1.0
2016-11-21,143,79,0.0
2016-11-22,180,69,0.0
2016-11-23,141,60,1.0
2016-11-24,136,72,0.0
2016-11-25,167,84,1.0
2016-11-26,115,44,0.0
2016-11-27,127,80,0.0
2016-11-28,174,85,0.0
2016-11-29,128,66,0.0
2016-11-30,137,77,0.0
2016-12-01,151,79,0.0
2016-12-02,156,61,0.0
2016-12-03,118,42,0.0
2016-12-04,117,60,0.0
2016-12-05,118,68,0.0
2016-12-06,154,67,0.0
2016-12-07,126,72,0.0
2016-12-08,122,61,0.0
2016-12-09,149,48,0.0
2016-12-10,80,46,0.0
2016-12-11,89,61,0.0
2016-12-12,121,64,0.0
2016-12-13,94,59,0.0
2016-12-14,146,79,0.0
2017-01-01,57,43,0.0
2017-01-02,128,78,0.0
2017-01-03,153,95,0.0
2017-01-04,163,88,0.0
2017-01-05,180,100,1.0
2017-01-06,122,61,0.0
2017-01-07,104,75,0.0
2017-01-08,128,69,0.0
2017-01-09,166,107,0.0
2017-01-10,207,103,0.0
2017-01-11,114,52,0.0
2017-01-12,161,87,1.0
2017-01-13,158,75,0.0
2017-01-14,127,78,0.0
2017-01-15,147,96,1.0
2017-01-16,170,92,0.0
2017-01-17,254,110,0.0
2017-01-18,217,89,0.0
2017-01-19,192,95,0.0
2017-01-20,181,117,0.0
2017-01-21,128,67,0.0
2017-01-22,140,84,0.0
2017-01-23,171,112,0.0
2017-01-24,206,99,0.0
2017-01-25,232,104,0.0
2017-01-26,180,84,0.0
2017-01-27,150,93,0.0
2017-01-28,140,60,0.0
2017-01-29,153,83,0.0
2017-01-30,187,102,0.0
2017-01-31,152,105,0.0
2017-02-01,127,67,0.0
2017-02-02,186,97,1.0
2017-02-03,195,105,0.0
2017-02-04,118,61,0.0
2017-02-05,126,72,0.0
2017-02-06,164,76,0.0
2017-02-07,163,143,0.0
2017-02-08,218,99,0.0
2017-02-09,137,75,0.0
2017-02-10,125,59,0.0
2017-02-11,92,38,0.0
2017-02-12,104,56,0.0
2017-02-13,129,50,0.0
2017-02-14,164,83,0.0
2017-02-15,136,87,0.0
2017-02-16,164,64,0.0
2017-02-17,151,62,0.0
2017-02-18,106,39,0.0
2017-02-19,82,56,0.0
2017-02-20,153,76,0.0
2017-02-21,191,96,0.0
2017-02-22,159,96,0.0
2017-02-23,176,93,0.0
2017-02-24,146,72,0.0
2017-02-25,87,42,0.0
2017-02-26,80,44,0.0
2017-02-27,56,54,0.0
2017-02-28,86,49,0.0
2017-03-01,106,60,0.0
2017-03-02,130,48,0.0
2017-03-03,120,47,0.0
2017-03-04,131,67,0.0
2017-03-05,82,41,0.0
2017-03-06,100,53,0.0
2017-03-07,108,60,0.0
2017-03-08,150,68,0.0
2017-03-09,148,50,0.0
2017-03-10,86,56,0.0
2017-03-11,103,65,0.0
2017-03-12,109,50,0.0
2017-03-13,135,51,0.0
2017-03-14,142,83,0.0
2017-03-15,206,105,0.0
2017-03-16,152,79,0.0
2017-03-17,163,76,0.0
2017-03-18,121,65,0.0
2017-03-19,112,67,1.0
2017-03-20,163,54,0.0
2017-03-21,162,72,0.0
2017-03-22,111,41,0.0
2017-03-23,130,60,0.0
2017-03-24,139,49,0.0
2017-03-25,83,61,0.0
2017-03-26,76,27,0.0
2017-03-27,136,76,0.0
2017-03-28,140,62,0.0
2017-03-29,117,79,0.0
2017-03-30,68,41,0.0
2017-03-31,149,73,0.0
2017-04-01,95,41,0.0
2017-04-02,141,90,0.0
2017-04-03,175,83,0.0
2017-04-04,146,70,0.0
2017-04-05,176,75,0.0
2017-04-06,165,87,0.0
2017-04-07,147,44,0.0
2017-04-08,149,68,0.0
2017-04-09,106,54,0.0
2017-04-10,161,50,0.0
2017-04-11,132,55,0.0
2017-04-12,239,84,0.0
2017-04-13,136,67,0.0
2017-04-14,74,43,0.0
2017-04-15,63,54,0.0
2017-04-16,78,37,0.0
2017-04-17,170,76,0.0
2017-04-18,156,79,0.0
2017-04-19,210,69,0.0
2017-04-20,141,53,0.0
2017-04-21,132,74,0.0
2017-04-22,148,79,0.0
2017-04-23,107,92,0.0
2017-04-24,129,71,0.0
2017-04-25,153,83,0.0
2017-04-26,115,54,0.0
2017-04-27,131,83,0.0
2017-04-28,175,80,0.0
2017-04-29,74,42,0.0
2017-04-30,80,42,1.0
2017-05-01,99,61,0.0
2017-05-02,37,10,0.0
2017-05-03,134,72,0.0
2017-05-04,164,85,1.0
2017-05-05,123,73,0.0
2017-05-06,86,45,0.0
2017-05-07,103,63,0.0
2017-05-08,98,46,0.0
2017-05-09,141,73,0.0
2017-05-10,132,77,0.0
2017-05-11,150,97,1.0
2017-05-12,149,62,0.0
2017-05-13,111,74,1.0
2017-05-14,97,32,0.0
2017-05-15,142,77,0.0
2017-05-16,269,102,0.0
2017-05-17,173,67,0.0
2017-05-18,215,161,0.0
2017-05-19,156,67,0.0
2017-05-20,143,73,0.0
2017-05-21,78,53,0.0
2017-05-22,79,44,0.0
2017-05-23,97,46,0.0
2017-05-24,147,72,0.0
2017-05-25,127,96,0.0
2017-05-26,170,72,1.0
2017-05-27,87,41,0.0
2017-05-28,71,41,0.0
2017-05-29,73,32,0.0
2017-05-30,131,66,0.0
2017-05-31,144,74,0.0
2017-06-01,177,95,0.0
2017-06-02,195,73,0.0
2017-06-03,124,55,0.0
2017-06-04,110,50,0.0
2017-06-05,164,83,1.0
2017-06-06,142,91,0.0
2017-06-07,193,77,0.0
2017-06-08,165,75,0.0
2017-06-09,205,81,0.0
2017-06-10,116,57,0.0
2017-06-11,94,67,0.0
2017-06-12,157,68,0.0
2017-06-13,188,70,0.0
2017-06-14,162,83,0.0
2017-06-15,159,62,0.0
2017-06-16,138,52,1.0
2017-06-17,81,75,0.0
2017-06-18,85,62,0.0
2017-06-19,148,72,3.0
2017-06-20,149,83,0.0
2017-06-21,118,90,0.0
2017-06-22,128,54,0.0
2017-06-23,122,53,2.0
2017-06-24,80,47,1.0
2017-06-25,97,43,0.0
2017-06-26,154,73,0.0
2017-06-27,204,69,0.0
2017-06-28,216,90,2.0
2017-06-29,180,81,0.0
2017-06-30,245,103,2.0
2017-07-01,136,69,0.0
2017-07-02,100,63,0.0
2017-07-03,134,72,0.0
2017-07-04,176,111,0.0
2017-07-05,178,92,0.0
2017-07-06,178,98,0.0
2017-07-07,141,77,0.0
2017-07-08,108,50,0.0
2017-07-09,113,88,0.0
2017-07-10,138,93,0.0
2017-07-11,163,70,0.0
2017-07-12,138,91,0.0
2017-07-13,128,74,0.0
2017-07-14,198,91,0.0
2017-07-15,119,42,0.0
2017-07-16,65,56,0.0
2017-07-17,126,80,0.0
2017-07-18,146,94,0.0
