year,month,day,min_tmp
2017,04,01,23.600
2017,04,02,23.400
2017,04,03,24.600
2017,04,04,23.300
2017,04,05,23.800
2017,04,06,23.700
2017,04,07,24.400
2017,04,08,24.600
2017,04,09,25.400
2017,04,10,24.000
2017,04,11,23.100
2017,04,12,22.800
2017,04,13,23.600
2017,04,14,24.800
2017,04,15,24.300
2017,04,16,24.800
2017,04,17,25.000
2017,04,18,24.100
2017,04,19,24.600
2017,04,20,25.100
2017,04,21,24.100
2017,04,22,24.300
2017,04,23,24.300
2017,04,24,24.000
2017,04,25,23.500
2017,04,26,24.600
2017,04,27,24.600
2017,04,28,25.100
2017,04,29,24.800
2017,04,30,23.600
2017,05,01,24.000
2017,05,02,23.500
2017,05,03,24.400
2017,05,04,24.300
2017,05,05,24.300
2017,05,06,23.800
2017,05,07,25.200
2017,05,08,24.700
2017,05,09,24.300
2017,05,10,24.200
2017,05,11,25.000
2017,05,12,24.900
2017,05,13,24.400
2017,05,14,24.100
2017,05,15,24.500
2017,05,16,24.100
2017,05,17,25.300
2017,05,18,24.400
2017,05,19,25.400
2017,05,20,24.500
2017,05,21,25.000
2017,05,22,23.500
2017,05,23,23.400
2017,05,24,23.900
2017,05,25,23.900
2017,05,26,24.600
2017,05,27,24.700
2017,05,28,23.600
2017,05,29,23.200
2017,05,30,23.000
2017,05,31,24.400
2017,06,01,24.100
2017,06,02,24.600
2017,06,03,24.700
2017,06,04,24.600
2017,06,05,24.200
2017,06,06,23.600
2017,06,07,23.500
2017,06,08,22.900
2017,06,09,25.300
2017,06,10,24.700
2017,06,11,24.700
2017,06,12,23.600
2017,06,13,23.900
2017,06,14,24.100
2017,06,15,23.100
2017,06,16,23.300
2017,06,17,23.000
2017,06,18,23.900
2017,06,19,23.900
2017,06,20,24.600
2017,06,21,24.300
2017,06,22,23.600
2017,06,23,22.900
2017,06,24,24.100
2017,06,25,24.200
2017,06,26,24.500
2017,06,27,24.400
2017,06,28,24.600
2017,06,29,23.500
2017,06,30,24.000
2017,07,01,23.600
2017,07,02,23.600
2017,07,03,22.500
2017,07,04,21.900
2017,07,05,23.300
2017,07,06,23.500
2017,07,07,23.100
2017,07,08,23.700
2017,07,09,23.800
2017,07,10,24.500
2017,07,11,24.000
2017,07,12,22.300
2017,07,13,22.200
2017,07,14,22.400
2017,07,15,23.000
