year,month,day,pr
2016,11,10,0.0
2016,11,11,0.0
2016,11,12,0.0
2016,11,13,0.0
2016,11,14,0.0
2016,11,15,0.0
2016,11,16,0.0
2016,11,17,0.0
2016,11,18,0.0
2016,11,19,0.0
2016,11,20,0.0
2016,11,21,0.0
2016,11,22,0.0
2016,11,23,0.0
2016,11,24,0.0
2016,11,25,0.0
2016,11,26,0.0
2016,11,27,0.0
2016,11,28,0.0
2016,11,29,0.0
2016,11,30,0.0
2016,12,01,0.0
2016,12,02,0.0
2016,12,03,0.0
2016,12,04,0.0
2016,12,05,0.0
2016,12,06,0.0
2016,12,07,0.0
2016,12,08,0.0
2016,12,09,0.0
2016,12,10,0.0
2016,12,11,0.0
2016,12,12,0.0
2016,12,13,4.0
2016,12,14,0.0
2016,12,15,1.0
2016,12,16,0.0
2016,12,17,0.0
2016,12,18,28.0
2016,12,19,0.0
2016,12,20,0.0
2016,12,21,0.0
2016,12,22,0.0
2016,12,23,0.0
2016,12,24,0.0
2016,12,25,0.0
2016,12,26,0.0
2016,12,27,0.0
2016,12,28,6.8
2016,12,29,5.0
2016,12,30,0.0
2016,12,31,0.0
2017,01,01,0.0
2017,01,02,0.0
2017,01,03,0.0
2017,01,04,
2017,01,05,
2017,01,06,0.0
2017,01,07,0.0
2017,01,08,61.0
2017,01,09,0.0
2017,01,10,0.0
2017,01,11,13.2
2017,01,12,5.0
2017,01,13,0.0
2017,01,14,0.0
2017,01,15,0.0
2017,01,16,0.0
2017,01,17,0.0
2017,01,18,4.2
2017,01,19,14.0
2017,01,20,6.2
2017,01,21,0.0
2017,01,22,0.0
2017,01,23,0.0
2017,01,24,0.0
2017,01,25,0.0
2017,01,26,0.0
2017,01,27,2.6
2017,01,28,8.2
2017,01,29,2.2
2017,01,30,11.0
2017,01,31,7.0
2017,02,01,1.0
2017,02,02,0.0
2017,02,03,0.0
2017,02,04,0.0
2017,02,05,0.0
2017,02,06,0.0
2017,02,07,0.0
2017,02,08,0.0
2017,02,09,0.0
2017,02,10,0.0
2017,02,11,73.0
