dia,x,y
2017-03-22,918,320
2017-03-23,842,292
2017-03-24,618,224
2017-03-25,729,363
2017-03-26,508,305
2017-03-27,914,400
2017-03-28,997,422
2017-03-29,1073,463
2017-03-30,640,240
2017-03-31,937,376
2017-04-01,336,116
2017-04-02,642,410
2017-04-03,1035,441
2017-04-04,1149,377
2017-04-05,963,375
2017-04-06,1052,431
2017-04-07,1004,383
2017-04-08,781,390
2017-04-09,697,428
2017-04-10,1136,459
2017-04-11,808,300
2017-04-12,1176,465
2017-04-13,694,286
2017-04-14,521,295
2017-04-15,630,346
2017-04-16,523,361
2017-04-17,1023,416
2017-04-18,1078,453
2017-04-19,1294,543
2017-04-20,1003,361
2017-04-21,724,402
2017-04-22,689,350
2017-04-23,607,440
2017-04-24,791,361
2017-04-25,998,459
2017-04-26,1071,486
2017-04-27,999,454
2017-04-28,967,450
2017-04-29,696,329
2017-04-30,531,391
2017-05-01,729,375
2017-05-02,427,155
2017-05-03,805,422
2017-05-04,975,409
2017-05-05,929,467
2017-05-06,748,393
2017-05-07,724,358
2017-05-08,745,336
2017-05-09,1079,479
2017-05-10,1060,511
2017-05-11,1085,478
2017-05-12,995,423
2017-05-13,788,367
2017-05-14,572,298
2017-05-15,1068,472
2017-05-16,1163,535
2017-05-17,988,498
2017-05-18,1009,510
2017-05-19,1028,409
2017-05-20,835,436
2017-05-21,716,424
2017-05-22,978,492
2017-05-23,1048,525
2017-05-24,1104,508
2017-05-25,1056,477
2017-05-26,1061,446
2017-05-27,707,337
2017-05-28,523,333
2017-05-29,553,246
2017-05-30,985,450
2017-05-31,960,417
2017-06-01,1025,459
2017-06-02,1030,487
2017-06-03,755,331
2017-06-04,598,377
2017-06-05,1018,496
2017-06-06,1096,529
2017-06-07,1122,492
2017-06-08,1067,478
2017-06-09,1033,397
2017-06-10,683,320
2017-06-11,596,376
2017-06-12,855,365
2017-06-13,986,459
2017-06-14,962,429
2017-06-15,718,417
2017-06-16,863,438
2017-06-17,705,436
2017-06-18,624,389
2017-06-19,897,461
2017-06-20,926,444
2017-06-21,940,464
2017-06-22,967,451
2017-06-23,880,412
2017-06-24,734,347
2017-06-25,594,324
2017-06-26,923,431
2017-06-27,1012,501
2017-06-28,902,392
2017-06-29,953,447
2017-06-30,869,428
2017-07-01,691,416
2017-07-02,668,477
2017-07-03,803,386
2017-07-04,906,445
2017-07-05,958,470
2017-07-06,1004,483
2017-07-07,885,467
2017-07-08,639,377
2017-07-09,726,474
2017-07-10,807,422
2017-07-11,861,435
2017-07-12,980,499
2017-07-13,914,493
2017-07-14,931,470
2017-07-15,747,418
2017-07-16,706,473
2017-07-17,922,487
2017-07-18,1005,535
2017-07-19,938,492
2017-07-20,745,363
2017-07-21,723,352
2017-07-22,711,351
2017-07-23,729,469
2017-07-24,913,531
2017-07-25,856,442
2017-07-26,914,417
2017-07-27,732,353
2017-07-28,750,378
2017-07-29,725,441
2017-07-30,671,432
2017-07-31,876,445
2017-08-01,879,455
2017-08-02,944,497
2017-08-03,968,447
2017-08-04,981,436
2017-08-05,734,407
2017-08-06,771,491
2017-08-07,940,449
2017-08-08,891,452
2017-08-09,885,431
2017-08-10,869,395
2017-08-11,891,359
2017-08-12,697,327
2017-08-13,597,377
2017-08-14,780,344
2017-08-15,821,506
2017-08-16,1017,457
2017-08-17,936,431
2017-08-18,985,390
2017-08-19,741,379
2017-08-20,663,448
2017-08-21,773,394
2017-08-22,1012,397
2017-08-23,949,444
2017-08-24,983,423
2017-08-25,911,361
2017-08-26,651,298
2017-08-27,689,441
2017-08-28,941,426
2017-08-29,954,426
2017-08-30,900,324
2017-08-31,843,325
2017-09-01,888,349
2017-09-02,636,323
2017-09-03,693,419
2017-09-04,799,378
2017-09-05,918,417
2017-09-06,894,371
2017-09-07,624,417
2017-09-08,786,351
2017-09-09,671,375
2017-09-10,595,396
2017-09-11,889,417
2017-09-12,881,384
2017-09-13,913,383
2017-09-14,902,403
2017-09-15,912,351
2017-09-16,619,291
2017-09-17,667,444
2017-09-18,841,333
2017-09-19,898,384
2017-09-20,895,373
2017-09-21,892,351
2017-09-22,824,366
2017-09-23,628,282
2017-09-24,552,334
2017-09-25,802,386
2017-09-26,842,362
2017-09-27,882,371
2017-09-28,881,386
2017-09-29,779,384
2017-09-30,660,311
2017-10-01,518,329
2017-10-02,619,289
2017-10-03,802,374
2017-10-04,847,327
2017-10-05,789,388
2017-10-06,780,343
2017-10-07,635,340
2017-10-08,541,356
2017-10-09,779,326
2017-10-10,758,310
2017-10-11,696,285
2017-10-12,527,277
2017-10-13,651,302
2017-10-14,496,265
2017-10-15,531,402
2017-10-16,696,284
2017-10-17,750,320
2017-10-18,708,318
2017-10-19,793,350
2017-10-20,549,264
2017-10-21,520,262
2017-10-22,503,332
2017-10-23,700,267
2017-10-24,761,286
2017-10-25,703,281
2017-10-26,740,320
2017-10-27,710,299
2017-10-28,508,256
2017-10-29,478,282
2017-10-30,675,272
2017-10-31,668,305
2017-11-01,667,283
2017-11-02,620,298
2017-11-03,604,258
2017-11-04,471,246
