F_0,M_0,O_0,dia
27.596889317773787,22.566960642946317,0.0,2015-09-16
28.276893137254905,27.588656848030016,16.7230875,2015-09-17
27.505152260458836,23.602289014407333,37.10969166666667,2015-09-18
43.871560213776725,34.464352610441765,14.007583333333333,2015-09-19
53.164770389294404,45.08805622817229,0.0,2015-09-20
31.1718914556962,23.403659244399865,0.0,2015-09-21
29.730105182567726,21.925431405420508,10.563583333333334,2015-09-22
32.31525677378703,24.97613243159204,0.0,2015-09-23
28.629116281310214,22.63654585593731,36.79783333333334,2015-09-24
32.77853998553868,28.929745092975207,16.12392777777778,2015-09-25
41.596028973765435,39.37226185139062,22.28465,2015-09-26
57.96491714150048,51.11483353833539,25.2662,2015-09-27
26.56811024054983,22.52121734211415,40.75879444444445,2015-09-28
29.234407065584854,23.451306365313652,59.273047222222225,2015-09-29
27.409013009708737,24.062975621669626,28.530516666666664,2015-09-30
27.145364019607843,24.40769507354982,34.455420833333335,2015-10-01
31.609463877551022,24.072483808210784,22.294866666666667,2015-10-02
31.17355731707317,27.35452352441614,27.402302777777777,2015-10-03
60.64198913857678,48.313942092616855,56.15015,2015-10-04
26.251766902834007,21.802841233140658,55.462183333333336,2015-10-05
30.61715750841751,22.071900944244604,28.7345125,2015-10-06
36.9573036300505,33.30894968916519,22.222033333333332,2015-10-07
27.274749896907213,24.258970230607964,0.0,2015-10-08
39.549741016819574,26.773538820931023,56.78592916666666,2015-10-09
33.987775192802054,29.943531450094163,38.010266666666666,2015-10-10
49.95727365591398,43.723870393232744,22.689666666666668,2015-10-11
43.55738091263217,41.290775993676604,0.0,2015-10-12
27.520793313763864,25.453942539388322,23.215133333333334,2015-10-13
28.085664724919095,23.95323831845238,19.056873333333332,2015-10-14
36.44193652263374,24.593221747572816,11.385558333333334,2015-10-15
29.740771643745905,25.586613020344288,48.63433333333333,2015-10-16
36.14425493150684,27.105637057991515,0.0,2015-10-17
52.78713733448475,43.59330962913316,0.0,2015-10-18
