year,month,day,avg_tmp
2017,02,21,26.408
2017,02,22,27.850
2017,02,23,28.137
2017,02,24,27.783
2017,02,25,28.033
2017,02,26,27.017
2017,02,27,25.804
2017,02,28,26.292
2017,03,01,26.379
2017,03,02,25.712
2017,03,03,24.825
2017,03,04,26.279
2017,03,05,26.896
2017,03,06,27.713
2017,03,07,28.167
2017,03,08,26.046
2017,03,09,25.404
2017,03,10,26.896
2017,03,11,26.375
2017,03,12,26.500
2017,03,13,26.146
2017,03,14,26.900
2017,03,15,27.354
2017,03,16,26.913
2017,03,17,26.858
2017,03,18,26.904
2017,03,19,27.017
2017,03,20,26.917
2017,03,21,26.546
2017,03,22,25.033
2017,03,23,25.158
2017,03,24,24.867
2017,03,25,27.117
2017,03,26,25.550
2017,03,27,26.062
2017,03,28,27.354
2017,03,29,27.321
2017,03,30,26.343
2017,03,31,26.679
2017,04,01,
2017,04,02,26.875
2017,04,03,27.621
2017,04,04,27.471
2017,04,05,25.587
2017,04,06,27.367
2017,04,07,27.683
2017,04,08,27.729
2017,04,09,28.804
2017,04,10,26.571
2017,04,11,
2017,04,12,26.650
2017,04,13,25.688
2017,04,14,26.425
2017,04,15,27.596
2017,04,16,28.021
2017,04,17,27.787
2017,04,18,27.542
2017,04,19,27.738
2017,04,20,27.713
2017,04,21,27.550
2017,04,22,27.279
2017,04,23,26.921
2017,04,24,26.104
2017,04,25,27.458
2017,04,26,27.608
2017,04,27,27.538
2017,04,28,27.196
2017,04,29,27.613
2017,04,30,26.688
2017,05,01,27.146
2017,05,02,27.175
2017,05,03,27.733
2017,05,04,27.622
2017,05,05,27.379
2017,05,06,27.554
2017,05,07,27.858
2017,05,08,26.479
2017,05,09,26.250
2017,05,10,27.104
2017,05,11,27.825
2017,05,12,27.979
2017,05,13,27.342
2017,05,14,27.542
2017,05,15,27.792
2017,05,16,27.363
2017,05,17,28.304
2017,05,18,28.033
2017,05,19,28.200
2017,05,20,27.833
2017,05,21,28.450
2017,05,22,27.617
2017,05,23,27.317
2017,05,24,27.346
2017,05,25,27.488
2017,05,26,27.129
2017,05,27,27.354
2017,05,28,25.925
2017,05,29,
2017,05,30,26.471
2017,05,31,26.688
2017,06,01,27.667
2017,06,02,27.688
2017,06,03,27.509
2017,06,04,28.146
2017,06,05,27.342
2017,06,06,27.168
2017,06,07,27.417
2017,06,08,27.608
2017,06,09,28.217
2017,06,10,28.012
2017,06,11,27.033
2017,06,12,27.075
2017,06,13,27.817
2017,06,14,27.512
2017,06,15,26.800
2017,06,16,25.942
2017,06,17,26.461
2017,06,18,27.162
2017,06,19,26.950
2017,06,20,27.442
2017,06,21,27.500
2017,06,22,27.112
2017,06,23,26.554
2017,06,24,27.275
2017,06,25,27.762
2017,06,26,27.496
2017,06,27,27.538
2017,06,28,27.971
2017,06,29,26.283
2017,06,30,25.946
2017,07,01,25.908
2017,07,02,26.550
2017,07,03,26.667
2017,07,04,26.567
2017,07,05,26.762
2017,07,06,26.221
2017,07,07,27.346
2017,07,08,27.054
2017,07,09,27.275
2017,07,10,27.571
2017,07,11,26.821
2017,07,12,26.542
2017,07,13,26.333
2017,07,14,26.188
2017,07,15,26.338
2017,07,16,27.046
2017,07,17,26.312
2017,07,18,25.583
2017,07,19,27.133
2017,07,20,25.712
2017,07,21,
